,flight_date,flight_status,departure_airport,departure_timezone,departure_gate,departure_terminal,arrival_airport,arrival_timezone,arrival_terminal,arrival_gate,airline_name
2011,2024-09-05,scheduled,Penang International,Asia/Kuala_Lumpur,,,Singapore Changi,Asia/Singapore,,,United Airlines
2012,2024-09-05,scheduled,Penang International,Asia/Kuala_Lumpur,,,Singapore Changi,Asia/Singapore,,,Air New Zealand
2013,2024-09-05,scheduled,Penang International,Asia/Kuala_Lumpur,,,Singapore Changi,Asia/Singapore,,,Malaysia Airlines
2014,2024-09-05,scheduled,Penang International,Asia/Kuala_Lumpur,,,Singapore Changi,Asia/Singapore,,,SWISS
2015,2024-09-05,scheduled,Penang International,Asia/Kuala_Lumpur,,,,,,,AirAsia
2016,2024-09-05,scheduled,Penang International,Asia/Kuala_Lumpur,,,Singapore Changi,Asia/Singapore,4,,AirAsia
2017,2024-09-05,scheduled,Penang International,Asia/Kuala_Lumpur,,,Singapore Changi,Asia/Singapore,1,,Scoot
2018,2024-09-05,scheduled,Sunan International,Asia/Pyongyang,,,Beijing Capital International,Asia/Shanghai,2,,Air Koryo
2019,2024-09-05,scheduled,Chengdu Tianfu International Airport,Asia/Chongqing,,2,Beijing Capital International,Asia/Shanghai,2,,Hainan Airlines
2020,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,3,Hong Kong International,Asia/Hong_Kong,1,,Cathay Pacific
2021,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,2H15,2,Shanghai Hongqiao International,Asia/Shanghai,2,,China Eastern Airlines
2022,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,2,Hangzhou,Asia/Shanghai,3,,Hainan Airlines
2023,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,3,Shuangliu,Asia/Shanghai,2,,Air China LTD
2024,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,3,Shenzhen,Asia/Shanghai,,,Air China LTD
2025,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,2,Changsha,Asia/Shanghai,2,,Hainan Airlines
2026,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,3,Lanzhou Zhongchuan Airport,,,,Air China LTD
2027,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,3,Kunming,Asia/Shanghai,,,Air China LTD
2028,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,"J,K",3,Xianyang,Asia/Shanghai,2,,Air China LTD
2029,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,2,Gimpo Airport,Asia/Seoul,I,,Korean Air
2030,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,"J,K",3,Tianhe International,Asia/Shanghai,3,,Air China LTD
2031,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,2,Nanning,Asia/Shanghai,,,Air China LTD
2032,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,G,2,Guang Yuan,Asia/Shanghai,,,Air China LTD
2033,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,"J,K",3,Dalian,Asia/Shanghai,,,Air China LTD
2034,2024-09-05,scheduled,Beijing Capital International,Asia/Shanghai,,3,Chongqing Jiangbei International,Asia/Shanghai,3,,Air China LTD
